
"Advanced Micro Devices, Inc.",Last: 105.6,Change:  1.01
"Date: August 20, 2023 at 10:35 PM EDT",Bid: 105.55,Ask: 105.7,Size: 2*3,"Volume: 59,916,675"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 25 2023,AMD230825C00025000,82.3,0,79.95,81,0,3.3858,0.9997,0,3,25.00,AMD230825P00025000,0,0,0,0.04,0,3.3122,-0.0003,0,0
Fri Aug 25 2023,AMD230825C00030000,0,0,74.85,76.05,0,0,0.9996,0,0,30.00,AMD230825P00030000,0.01,0,0,0.01,0,2.9018,-0.0003,0,1
Fri Aug 25 2023,AMD230825C00035000,77.65,0,70.1,70.8,0,0,0.9995,0,1,35.00,AMD230825P00035000,0,0,0,0.01,0,2.5562,-0.0004,0,0
Fri Aug 25 2023,AMD230825C00040000,73.45,0,65.15,65.8,0,0,0.9994,0.0001,1,40.00,AMD230825P00040000,0.01,0,0,0.01,0,2.2576,-0.0005,0.0001,1
Fri Aug 25 2023,AMD230825C00045000,0,0,60.2,60.75,0,0,0.9993,0.0001,0,45.00,AMD230825P00045000,0,0,0,0.01,0,1.9945,-0.0006,0.0001,0
Fri Aug 25 2023,AMD230825C00050000,61.62,0,55.1,55.8,0,0,0.9991,0.0001,1,50.00,AMD230825P00050000,0.02,0,0,0.01,0,1.759,-0.0008,0.0001,3
Fri Aug 25 2023,AMD230825C00055000,0,0,50.25,50.8,0,1.7976,0.9989,0.0001,0,55.00,AMD230825P00055000,0.01,0,0,0.01,0,1.5456,-0.001,0.0001,12
Fri Aug 25 2023,AMD230825C00060000,55.5,0,45.25,45.8,0,1.5363,0.9986,0.0002,8,60.00,AMD230825P00060000,0.01,0.005,0,0.01,1,1.3503,-0.0014,0.0002,52
Fri Aug 25 2023,AMD230825C00065000,38.37,-1.005,40.1,40.7,2,0,0.9981,0.0003,3,65.00,AMD230825P00065000,0.01,0,0,0.01,0,1.1699,-0.0018,0.0003,736
Fri Aug 25 2023,AMD230825C00070000,35.1,0,35.2,35.8,0,0,0.9974,0.0005,101,70.00,AMD230825P00070000,0.01,0.005,0,0.01,164,1.002,-0.0025,0.0005,490
Fri Aug 25 2023,AMD230825C00075000,29.14,-0.26,30.1,30.7,1,0,0.9963,0.0008,38,75.00,AMD230825P00075000,0.02,0.005,0,0.02,15,0.9386,-0.0036,0.0008,205
Fri Aug 25 2023,AMD230825C00080000,25.75,1.325,25.1,25.8,29,0,0.9943,0.0014,77,80.00,AMD230825P00080000,0.01,-0.015,0.01,0.03,119,0.8008,-0.0056,0.0014,573
Fri Aug 25 2023,AMD230825C00082000,22.85,0,23.3,23.7,0,0,0.993,0.0017,1,82.00,AMD230825P00082000,0.03,-0.005,0.02,0.03,150,0.7556,-0.007,0.0018,54
Fri Aug 25 2023,AMD230825C00083000,21.55,0,22.3,22.8,0,0.7088,0.9921,0.002,10,83.00,AMD230825P00083000,0.04,-0.005,0.02,0.03,4,0.7231,-0.0078,0.002,48
Fri Aug 25 2023,AMD230825C00084000,21,0.55,21.35,21.7,6,0,0.9911,0.0023,16,84.00,AMD230825P00084000,0.02,-0.035,0.02,0.04,38,0.7065,-0.0089,0.0023,85
Fri Aug 25 2023,AMD230825C00085000,19.98,0.53,20.3,20.85,16,0.7086,0.9898,0.0027,170,85.00,AMD230825P00085000,0.03,-0.025,0.03,0.04,87,0.6873,-0.0102,0.0027,798
Fri Aug 25 2023,AMD230825C00086000,19.35,0.875,19.4,19.8,14,0.7184,0.9881,0.0032,12,86.00,AMD230825P00086000,0.04,-0.025,0.03,0.05,14,0.6661,-0.0118,0.0032,152
Fri Aug 25 2023,AMD230825C00087000,18.35,0.85,18.35,18.75,8,0.6372,0.9861,0.0037,18,87.00,AMD230825P00087000,0.04,-0.035,0.04,0.05,44,0.6434,-0.0138,0.0037,30
Fri Aug 25 2023,AMD230825C00088000,17.9,1.4,17.3,17.8,2,0.7071,0.9835,0.0044,18,88.00,AMD230825P00088000,0.05,-0.045,0.05,0.06,103,0.6279,-0.0164,0.0045,96
Fri Aug 25 2023,AMD230825C00089000,16.75,1.225,16.35,16.85,3,0.5004,0.9802,0.0054,5,89.00,AMD230825P00089000,0.06,-0.055,0.06,0.07,75,0.6092,-0.0198,0.0054,86
Fri Aug 25 2023,AMD230825C00090000,15.45,0.9,15.4,15.75,426,0.5326,0.9759,0.0065,276,90.00,AMD230825P00090000,0.08,-0.065,0.07,0.08,1076,0.5879,-0.0241,0.0065,1965
Fri Aug 25 2023,AMD230825C00091000,14.4,0.8,14.4,14.75,4,0.5678,0.9703,0.0079,40,91.00,AMD230825P00091000,0.08,-0.095,0.09,0.1,461,0.5754,-0.0296,0.0079,75
Fri Aug 25 2023,AMD230825C00092000,13.8,1.15,13.45,13.8,46,0.5313,0.9631,0.0097,34,92.00,AMD230825P00092000,0.12,-0.095,0.11,0.13,360,0.5584,-0.0368,0.0097,322
Fri Aug 25 2023,AMD230825C00093000,13,1.3,12.45,12.9,28,0.495,0.9538,0.0119,8,93.00,AMD230825P00093000,0.16,-0.12,0.15,0.16,453,0.5528,-0.0461,0.0119,226
Fri Aug 25 2023,AMD230825C00094000,11.65,0.875,11.5,11.85,34,0.5004,0.9419,0.0146,15,94.00,AMD230825P00094000,0.2,-0.155,0.19,0.21,548,0.5432,-0.0581,0.0146,302
Fri Aug 25 2023,AMD230825C00095000,10.85,0.975,10.6,10.95,60,0.5085,0.9268,0.0177,503,95.00,AMD230825P00095000,0.25,-0.205,0.25,0.27,2722,0.5351,-0.0732,0.0177,2248
Fri Aug 25 2023,AMD230825C00096000,10.23,1.23,9.65,10,115,0.526,0.908,0.0213,78,96.00,AMD230825P00096000,0.33,-0.245,0.33,0.34,1649,0.5268,-0.0921,0.0214,745
Fri Aug 25 2023,AMD230825C00097000,8.75,0.6,8.75,9.1,164,0.5015,0.8848,0.0254,137,97.00,AMD230825P00097000,0.45,-0.28,0.42,0.44,1209,0.5208,-0.1153,0.0254,927
Fri Aug 25 2023,AMD230825C00098000,8.03,0.68,8,8.25,278,0.5213,0.857,0.0298,184,98.00,AMD230825P00098000,0.57,-0.35,0.55,0.57,1920,0.5164,-0.1432,0.0298,657
Fri Aug 25 2023,AMD230825C00099000,7.3,0.725,7.1,7.4,38,0.5,0.8244,0.0343,155,99.00,AMD230825P00099000,0.76,-0.39,0.7,0.74,3091,0.5133,-0.1759,0.0344,1337
Fri Aug 25 2023,AMD230825C00100000,6.3,0.45,6.4,6.6,751,0.5099,0.7869,0.0388,867,100.00,AMD230825P00100000,0.94,-0.485,0.92,0.95,19187,0.5111,-0.2134,0.0389,11688
Fri Aug 25 2023,AMD230825C00101000,5.53,0.355,5.7,5.85,138,0.5138,0.7449,0.0431,117,101.00,AMD230825P00101000,1.2,-0.54,1.16,1.21,2740,0.5108,-0.2555,0.0432,1853
Fri Aug 25 2023,AMD230825C00102000,5,0.45,4.95,5.1,931,0.508,0.6988,0.047,171,102.00,AMD230825P00102000,1.48,-0.63,1.43,1.49,3847,0.5072,-0.3017,0.0471,1368
Fri Aug 25 2023,AMD230825C00103000,4.37,0.42,4.35,4.4,2316,0.5075,0.6493,0.0501,179,103.00,AMD230825P00103000,1.84,-0.69,1.81,1.85,3854,0.5078,-0.3514,0.0503,1486
Fri Aug 25 2023,AMD230825C00104000,3.65,0.225,3.75,3.8,5175,0.5067,0.5974,0.0524,392,104.00,AMD230825P00104000,2.27,-0.745,2.2,2.22,4876,0.5035,-0.4035,0.0526,1569
Fri Aug 25 2023,AMD230825C00105000,3.23,0.29,3.2,3.3,10013,0.5053,0.5439,0.0538,1699,105.00,AMD230825P00105000,2.63,-0.895,2.64,2.68,3526,0.5039,-0.4572,0.054,4440
Fri Aug 25 2023,AMD230825C00106000,2.69,0.18,2.71,2.78,5123,0.5042,0.49,0.0541,1335,106.00,AMD230825P00106000,3.15,-0.925,3.1,3.2,1573,0.5027,-0.5114,0.0544,1778
Fri Aug 25 2023,AMD230825C00107000,2.27,0.145,2.26,2.3,2922,0.5016,0.4368,0.0535,1264,107.00,AMD230825P00107000,3.76,-0.94,3.65,3.75,924,0.5,-0.5649,0.0538,1608
Fri Aug 25 2023,AMD230825C00108000,1.89,0.1,1.88,1.9,4126,0.5003,0.3851,0.0519,5774,108.00,AMD230825P00108000,4.32,-1.055,4.3,4.4,594,0.5012,-0.6168,0.0522,1713
Fri Aug 25 2023,AMD230825C00109000,1.55,0.055,1.52,1.59,2998,0.5,0.3359,0.0495,3060,109.00,AMD230825P00109000,4.92,-1.155,4.95,5.05,468,0.4979,-0.6663,0.0498,1720
Fri Aug 25 2023,AMD230825C00110000,1.27,0.025,1.25,1.3,11229,0.4982,0.2897,0.0464,6247,110.00,AMD230825P00110000,5.76,-1.065,5.65,5.8,807,0.4997,-0.7129,0.0468,3089
Fri Aug 25 2023,AMD230825C00111000,0.99,-0.04,1.02,1.05,2202,0.5011,0.2469,0.0429,1850,111.00,AMD230825P00111000,6.1,-1.5,6.4,6.55,123,0.4979,-0.756,0.0433,1762
