
Standard & Poors 500 Index,Last: 4369.71,Change:  -0.65
"Date: August 20, 2023 at 10:42 PM EDT",Bid: 4355.9199,Ask: 4387,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 18 2023,SPX230818C00200000,4249.1,0,0,0,0,0,0,0,34,200.00,SPX230818P00200000,0.05,0,0,0,0,0,0,0,411
Fri Aug 18 2023,SPXW230818C00200000,4320.14,0,4146,4191.5,0,0,0,0,74,200.00,SPXW230818P00200000,0.05,0,0,0.05,0,0,0,0,216
Fri Aug 18 2023,SPX230818C00400000,4027.1,0,0,0,0,0,0,0,7,400.00,SPX230818P00400000,0.05,0,0,0,0,0,0,0,8037
Fri Aug 18 2023,SPXW230818C00400000,4070.2,0,3951,3993.9,0,0,0,0,91,400.00,SPXW230818P00400000,0.05,0,0,0.05,0,0,0,0,17
Fri Aug 18 2023,SPX230818C00600000,3910.68,0,0,0,0,0,0,0,11,600.00,SPX230818P00600000,0.03,0,0,0,0,0,0,0,5627
Fri Aug 18 2023,SPXW230818C00600000,3765,0,3751,3793.9,0,0,0,0,55,600.00,SPXW230818P00600000,0.05,0,0,0.05,0,0,0,0,162
Fri Aug 18 2023,SPX230818C00800000,3714.73,0,0,0,0,0,0,0,10,800.00,SPX230818P00800000,0.03,0,0,0,0,0,0,0,3458
Fri Aug 18 2023,SPXW230818C00800000,3582.4,0,3551,3593.5,0,0,0,0,9,800.00,SPXW230818P00800000,0.1,0,0,0.05,0,0,0,0,205
Fri Aug 18 2023,SPX230818C01000000,3371.69,0,0,0,0,0,0,0,457,1000.00,SPX230818P01000000,0.05,0,0,0,0,0,0,0,6676
Fri Aug 18 2023,SPXW230818C01000000,3534.09,0,3346,3393.4,0,0,0,0,72,1000.00,SPXW230818P01000000,0.05,0,0,0.05,0,0,0,0,301
