
Tesla Inc,Last: 218.8,Change:  -3.73
"Date: August 20, 2023 at 10:38 PM EDT",Bid: 218.78,Ask: 218.8,Size: 2*5,"Volume: 136,276,584"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 25 2023,TSLA230825C00020000,196.2,-3,194.5,196.45,63,0,1,0,2,20.00,TSLA230825P00020000,0.01,0.005,0,0.01,8,5.1842,-0.0001,0,42
Fri Aug 25 2023,TSLA230825C00030000,239.05,0,184.45,186.45,0,0,0.9999,0,4,30.00,TSLA230825P00030000,0.01,0.005,0,0.01,3,4.2899,-0.0001,0,175
Fri Aug 25 2023,TSLA230825C00040000,238.83,0,174.45,176.45,0,0,0.9999,0,3,40.00,TSLA230825P00040000,0.01,0,0,0.01,0,3.6652,-0.0002,0,220
Fri Aug 25 2023,TSLA230825C00050000,165.7,-3.55,164.55,166.45,90,0,0.9998,0,49,50.00,TSLA230825P00050000,0.01,0,0,0.01,0,3.1851,-0.0002,0,50
Fri Aug 25 2023,TSLA230825C00060000,156,-3.275,154.55,156.5,1,0,0.9997,0,1,60.00,TSLA230825P00060000,0,0,0,0.01,0,2.7953,-0.0003,0,0
Fri Aug 25 2023,TSLA230825C00070000,0,0,144.5,146.5,0,0,0.9997,0,0,70.00,TSLA230825P00070000,0.01,0,0,0.01,0,2.467,-0.0004,0,150
Fri Aug 25 2023,TSLA230825C00080000,0,0,134.5,136.5,0,0,0.9995,0,0,80.00,TSLA230825P00080000,0.01,0,0,0.02,0,2.3018,-0.0005,0,751
Fri Aug 25 2023,TSLA230825C00085000,131.02,-3.28,129.55,131.5,13,0,0.9995,0,31,85.00,TSLA230825P00085000,0.01,0,0,0.01,0,2.0546,-0.0006,0,528
Fri Aug 25 2023,TSLA230825C00090000,126,-3.4,124.6,126.5,1,0,0.9994,0,1,90.00,TSLA230825P00090000,0.01,0.005,0,0.01,175,1.9333,-0.0006,0,23085
Fri Aug 25 2023,TSLA230825C00095000,0,0,119.8,121.5,0,2.2417,0.9993,0,0,95.00,TSLA230825P00095000,0.01,0.005,0,0.01,2028,1.8185,-0.0008,0,19361
Fri Aug 25 2023,TSLA230825C00100000,115.65,-3.775,114.8,116.5,11,2.088,0.9992,0,22,100.00,TSLA230825P00100000,0.01,0.005,0,0.01,16188,1.7095,-0.0009,0,1291
Fri Aug 25 2023,TSLA230825C00105000,110.97,-3.355,109.55,111.55,15,0,0.999,0.0001,23,105.00,TSLA230825P00105000,0.02,0.015,0,0.02,568,1.7537,-0.001,0.0001,1385
Fri Aug 25 2023,TSLA230825C00110000,105.5,-3.85,104.55,106.55,9,0,0.9988,0.0001,10,110.00,TSLA230825P00110000,0.02,0.015,0,0.02,235,1.6465,-0.0012,0.0001,866
Fri Aug 25 2023,TSLA230825C00115000,101,-3.45,99.65,101.55,3,0,0.9986,0.0001,0,115.00,TSLA230825P00115000,0.02,0.005,0,0.03,367,1.6172,-0.0014,0.0001,544
Fri Aug 25 2023,TSLA230825C00120000,95.03,-4.42,94.65,96.55,26,0,0.9984,0.0001,57,120.00,TSLA230825P00120000,0.03,0.005,0,0.03,454,1.5146,-0.0016,0.0001,335
Fri Aug 25 2023,TSLA230825C00125000,90.09,-4.31,89.85,91.55,5,1.585,0.9981,0.0001,70,125.00,TSLA230825P00125000,0.03,0.005,0.02,0.03,4770,1.416,-0.0019,0.0001,595
Fri Aug 25 2023,TSLA230825C00130000,84.92,-4.53,84.95,86.55,5,1.5674,0.9977,0.0002,47,130.00,TSLA230825P00130000,0.04,0.015,0.02,0.04,4811,1.3659,-0.0023,0.0002,722
Fri Aug 25 2023,TSLA230825C00135000,79.9,-4.575,80.45,80.95,15,1.1581,0.9973,0.0002,50,135.00,TSLA230825P00135000,0.04,0.005,0.03,0.07,1500,1.3055,-0.0027,0.0002,1236
Fri Aug 25 2023,TSLA230825C00140000,75.05,-4.375,75.45,76,156,1.0282,0.9967,0.0003,21,140.00,TSLA230825P00140000,0.04,-0.005,0.04,0.06,1496,1.2263,-0.0033,0.0003,779
Fri Aug 25 2023,TSLA230825C00145000,70.44,-4.035,69.65,71.2,20,1.0663,0.996,0.0004,51,145.00,TSLA230825P00145000,0.06,0.015,0.05,0.06,220,1.1473,-0.004,0.0004,1734
Fri Aug 25 2023,TSLA230825C00150000,66.03,-3.445,65.5,66,29,1.0406,0.9951,0.0004,61,150.00,TSLA230825P00150000,0.08,0.035,0.05,0.06,819,1.058,-0.0049,0.0005,473
Fri Aug 25 2023,TSLA230825C00155000,60.74,-3.785,60,61,25,0.9427,0.9939,0.0006,32,155.00,TSLA230825P00155000,0.05,-0.005,0.05,0.07,287,0.981,-0.0061,0.0006,954
Fri Aug 25 2023,TSLA230825C00160000,55.89,-3.585,55.5,56.1,56,0.8477,0.9924,0.0008,31,160.00,TSLA230825P00160000,0.07,0.005,0.06,0.07,3625,0.9044,-0.0076,0.0008,673
Fri Aug 25 2023,TSLA230825C00165000,51.16,-3.39,50.5,51,256,0.8074,0.9903,0.001,241,165.00,TSLA230825P00165000,0.08,0.015,0.06,0.08,1725,0.8354,-0.0097,0.001,508
Fri Aug 25 2023,TSLA230825C00170000,45.9,-3.625,45.55,46.2,423,0.7834,0.9875,0.0014,400,170.00,TSLA230825P00170000,0.1,0.015,0.09,0.1,6048,0.776,-0.0126,0.0014,896
Fri Aug 25 2023,TSLA230825C00172500,0,0,0,0,0,0,0,0,0,172.50,TSLA230825P00172500,0,0,0,0,0,0,0,0,0
Fri Aug 25 2023,TSLA230825C00175000,40.75,-3.825,40.7,41.1,94,0.7171,0.9834,0.0019,292,175.00,TSLA230825P00175000,0.11,-0.005,0.11,0.13,2441,0.7156,-0.0167,0.0019,1117
Fri Aug 25 2023,TSLA230825C00177500,0,0,0,0,0,0,0,0,0,177.50,TSLA230825P00177500,0,0,0,0,0,0,0,0,0
Fri Aug 25 2023,TSLA230825C00180000,36.04,-3.585,35.6,36.25,329,0.664,0.9769,0.0027,325,180.00,TSLA230825P00180000,0.15,-0.005,0.14,0.16,15160,0.6564,-0.0232,0.0027,1636
Fri Aug 25 2023,TSLA230825C00182500,0,0,0,0,0,0,0,0,0,182.50,TSLA230825P00182500,0,0,0,0,0,0,0,0,0
